customer_tweet_id,customer_message,draft_reply,relevance_human,groundedness_human,helpfulness_human,professional_tone_human,safety_human,overall_human,human_comment
102157,"@115873: “affordable everyday rides”
me: *wants to go to my mother in laws [normally costs $8] gets on and sees its now $11*

smh this makes me so freaking mad. it’s literally 3 miles down the road. $11 is way too much for a 5 minute drive.",Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,,,,,,,
1792306,@115873 my driver is asking for $50 to return my phone. What is your policy on this?,We take driver feedback very seriously. Please provide your trip details so our safety and operations team can address this situation.,,,,,,,
573152,Shout to @115873 for employing a driver that just kicked me out of the car for not giving him an additional cash fee. Despite having a working account to pay him with.,"We are here to help. Based on standard resolution procedures: Hey there! We do see you were able to write into our support team. We'll be sure to follow up with you there. We appreciate you patience. If you need further assistance, please let us know.",,,,,,,
2359083,I’m about to delete @115873 ! You can’t contact them and they don’t have refund you your money!,Sorry about the inconvenience with your ride. Please send us a DM with your trip details so our team can review your refund request.,,,,,,,
1305910,Multiple times follow up for refund but only receive auto replies...No helpline is available https://t.co/cDNUyw8EZW,We understand you are requesting a refund. Please share your trip details and receipt info so our support team can review your request.,,,,,,,
2141083,@Uber_Support You have his license plate and the time I tweeted. You should be able to track him down using your systems.,Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,,,,,,,
2381495,@Uber_Support This is just Standing Operating Procedures. I had informed and spoke to the driver on Sunday night being the 1st step; Cab aggregator being the 2nd step; and the police being the 3rd step which I hope would not be necessary. My alt no. 9643736103 or 9999365408.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,,,,,,,
1715692,Disappointed that there is no direct number to reach @Uber_Support @115873 for my urgent matter!!,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,,,,,,,
107786,@Uber_Support I got a response from you guys around 10 mins back and the response prior to that was more than 12 hours ago.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,,,,,,,
1556768,@Uber_Support Let me know the way by which I can avail the offer as sent by your esteemed team.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,,,,,,,
1906124,@Uber_Support Please get my money back to me I had a big trip planned today,Sorry about the inconvenience with your ride. Please send us a DM with your trip details so our team can review your refund request.,,,,,,,
2596527,@Uber_Support  https://t.co/0x4eNzxw7C,Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,,,,,,,
667990,@Uber_Support My wife forgot her telephone in the car and as her phone is inside the car with her account is impossible to reach the driver.,"We are here to help. Based on standard resolution procedures: Sorry about the delay, Reyaz. We do see you were able to respond into our support platform. A member of our team is on top of this and will be following up with you there. Keep an eye on this update coming your way. We appreciate your patience. If you need further assistance, please let us know.",,,,,,,
1368498,"@Uber_Support had a very, scary experience in an uber and cannot seem to rate the driver on my husbands app. Please contact me",We sincerely apologize for the experience with your driver. Please send us a direct message with your trip details so our team can follow up immediately.,,,,,,,
488724,@Uber_Support I am very unhappy with Uber's customer support. I did mention that I am unable to find my trip receipt when I login to Uber via the internet. You could have helped me connect with my driver or at least locate the trip receipt.,We understand you are having difficulty accessing your account. Please verify your credentials or contact support so our team can verify your identity and assist.,,,,,,,
175039,@Uber_Support I have all my documents uploaded. It asks for my vehicle information. I put in information.,Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,,,,,,,
2378338,"@115873     Here's the photo, by the way, after ignoring all 37 of my phone calls https://t.co/QCUHBGF1mY",Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,,,,,,,
1366473,If my @115873 driver fucking slams on the brakes again because he’d rather stare at women walking I swear to god,We sincerely apologize for the experience with your driver. Please send us a direct message with your trip details so our team can follow up immediately.,,,,,,,
393624,@Uber_Support Your ubereats driver stole a purse at my workplace! We called uber but seems like they’re not even doing anything about it! https://t.co/mkuCwAfeDT,We apologize for the trouble with your delivery order. Please share your order number and restaurant details so our support team can assist.,,,,,,,
1874831,My Uber driver cancelled on me and changed 5.00 cancalation free. I’m in a cab being charged a lot more and I’m late for my show #uber,We understand your concern regarding the cancellation. Please share your trip details so our team can check the cancellation status.,,,,,,,
140475,"@115873 plz help, I had trip Pune Carporation to Ganeshnagar, Vadgaon sheri. I forget my mobile in Cab. I registered cab on  mobile. My mobile no is 9604043337",Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,,,,,,,
2323350,@Uber_Support Uber places phone calls to drivers through Google Hangouts rather than my sim phone service. How do I change this? P,We take driver feedback very seriously. Please provide your trip details so our safety and operations team can address this situation.,,,,,,,
