customer_tweet_id,customer_message,support_tweet_id,support_response,created_at,historical_intent
1787383,Just tried @115877. Waited an hour just for the delivery person to cancel the order. I'm certain they're eating my food right now.,1787382,"@536976 We're ready to look further into this, John! Please DM us the email address linked to your Uber account and more details so we can connect.",Wed Oct 11 16:33:22 +0000 2017,uber_eats_issue
1901721,"@Uber_Support @119983 
I can also provide the receipt and you can also confirm from ur driver. Give proper directions to ur drivers for better controls or just dont deduct it from paytm. https://t.co/whuApVC4p5",1901720,@566753 Here to help! Send us a note here; https://t.co/ijTJHFJJTx and our team will be able to assist!,Sun Nov 26 08:37:51 +0000 2017,driver_issue
524977,"https://t.co/6sRhHZsIuQ
@115873 
On 2-11-17 at 5.14 p.m. the driver cancelled the pick up, then why am I being asked to pay Rs. 42. Pls cancel it urgently",524976,@241412 Here to help! Send us a note here; https://t.co/1xM0TJ36sg and our team will be able to assist!,Sat Dec 02 05:49:50 +0000 2017,driver_issue
2552590,@115873 if the driver is taking way longer than expected why can’t I cancel free of charge? If it was meant to be 3 minutes wait and now it’s a 10 minute wait?,2552589,"@725050 We're sorry to hear this was your experience. Send us a note here, https://t.co/593jusCquh, and our team will be in touch.",Thu Nov 16 15:01:09 +0000 2017,driver_issue
271364,@115877 anyone home? Order never arrived and no one seems to want to respond to my request for help. #WhatCustomerService #1star #UberEats,271363,@180751 Let's take a further look into this. Please send us a DM with your email and phone number linked to your account.,Thu Oct 05 23:13:09 +0000 2017,uber_eats_issue
2051000,"@127960  @115873  i can't pay by my credit card, i send message to your help, they can't fix it up , my register email is __email__,",2050999,@180474 Hey there! We do see you were able to write into our support team. We'll be sure to follow up with you there. We appreciate you patience.,Thu Oct 05 19:53:52 +0000 2017,payment_issue
980911,@Uber_Support I referred someone to uber who has taken their first ride. They received their credits but I didnt receive mine. Can you help?,980910,@352582 Oh no! Please DM us the email linked to your account so we can look into this for you. We look forward to your response.,Sat Oct 14 04:39:13 +0000 2017,trip_issue
1692668,@Uber_Support Done,1692670,"@513725 We've follow up via DM, Issa. Please be sure to check for an update.",Mon Nov 06 17:40:16 +0000 2017,other_support_issue
1151926,@115873 if the driver isn't really moving on gps their shouldn't be a cancellation fee. Another scam government should look into this.,1151925,@391090 We're sorry to hear this was your experience. Please send us a note via https://t.co/w7r2O6dMbU and we'll be in touch.,Tue Oct 24 14:58:56 +0000 2017,cancellation_issue
899594,"@Uber_Support Thank you. I received a more helpful email response today so all good. As feedback, please make general contact into easier to find in app?",899595,"@333577 Hey, Holly. You can always go through a list of various support options through the Help section of your app. We hope this helps.",Sun Oct 22 08:29:11 +0000 2017,app_or_technical_issue
