customer_tweet_id,customer_message,predicted_intent,historical_customer_message,historical_support_response,draft_reply,decision,decision_reason
102157,"@115873: “affordable everyday rides”
me: *wants to go to my mother in laws [normally costs $8] gets on and sees its now $11*

smh this makes me so freaking mad. it’s literally 3 miles down the road. $11 is way too much for a 5 minute drive.",trip_issue,@115873 closers rides should be cost 1$ Not 2.20$ 😡 https://t.co/MnZ0SbMBAF,@729096 Hi there! Please send us a note at https://t.co/oEOANqFpjc and we'll be happy to look into this for you.,Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
107786,@Uber_Support I got a response from you guys around 10 mins back and the response prior to that was more than 12 hours ago.,other_support_issue,@Uber_Support I got a response from you guys around 10 mins back and the response prior to that was more than 12 hours ago.,@139951 Sorry for the delay. Our team is currently reviewing your email and will follow up shortly.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
140475,"@115873 plz help, I had trip Pune Carporation to Ganeshnagar, Vadgaon sheri. I forget my mobile in Cab. I registered cab on  mobile. My mobile no is 9604043337",trip_issue,@Uber_Support @115873 How can you charge me for a ride in which my cab driver asked me to get down in middle of the trip. &lt;1/2&gt;,"@632256 We're sorry to hear this, Krunal. Please send us a note to https://t.co/balq3Eyso6 so we can follow up.",Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
175039,@Uber_Support I have all my documents uploaded. It asks for my vehicle information. I put in information.,other_support_issue,,,Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,ESCALATE,No usable historical resolution found (similarity 0.1844 is below 0.20 threshold).
232647,"@Uber_Support 2/3: And he has a debt of 12k, And that money was deducted from my earnings and after one more week .....",other_support_issue,".@115877 is the best thing in the world until they don’t show up, support doesn’t respond AND they take your money.",@296937 We've followed up via DM. Please check your messages for an update.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
393624,@Uber_Support Your ubereats driver stole a purse at my workplace! We called uber but seems like they’re not even doing anything about it! https://t.co/mkuCwAfeDT,uber_eats_issue,,,We apologize for the trouble with your delivery order. Please share your order number and restaurant details so our support team can assist.,ESCALATE,No usable historical resolution found (similarity 0.1715 is below 0.20 threshold).
470271,"@Uber_Support M:+91 9611833221, E: __email__ reactivate my account and refund Rs. 350 which is stuck in paytm wallet. 
Account was disabled due to cancellations of trips. Cancellations were done since cabs weren't moving in my direction.",account_access_issue,@115873 Why did my account get disabled and who do I talk to I need that ASAP,@785544 We're here to help! Send us a note at https://t.co/Md7v036OoC so we can assist.,We understand you are having trouble with your account. Please send us a DM with your registered email and phone number so we can securely assist you.,ESCALATE,Account access inquiries require secure identity verification and human support intervention.
488724,@Uber_Support I am very unhappy with Uber's customer support. I did mention that I am unable to find my trip receipt when I login to Uber via the internet. You could have helped me connect with my driver or at least locate the trip receipt.,account_access_issue,"@Uber_Support Hi Uber, I am unable to login to Uber without my phone... This is why I took to Twitter. Please can you assist me I need to recover my phone",@171715 Hey Matthew! Sorry for the trouble. Can you please provide your email and phone number so we can locate your account info? Thank you,We understand you are having difficulty accessing your account. Please verify your credentials or contact support so our team can verify your identity and assist.,ESCALATE,Account access inquiries require secure identity verification and human support intervention.
573152,Shout to @115873 for employing a driver that just kicked me out of the car for not giving him an additional cash fee. Despite having a working account to pay him with.,payment_issue,"@127960  @115873  i can't pay by my credit card, i send message to your help, they can't fix it up , my register email is __email__,",@180474 Hey there! We do see you were able to write into our support team. We'll be sure to follow up with you there. We appreciate you patience.,"We are here to help. Based on standard resolution procedures: Hey there! We do see you were able to write into our support team. We'll be sure to follow up with you there. We appreciate you patience. If you need further assistance, please let us know.",AUTO_HANDLE,A usable historical resolution was found (similarity: 0.2202) with self-contained guidance.
667990,@Uber_Support My wife forgot her telephone in the car and as her phone is inside the car with her account is impossible to reach the driver.,account_access_issue,@Uber_Support I have been waiting for more than 27 hours. when will my account be up and running and my car not disabled on the app.,"@642064 Sorry about the delay, Reyaz. We do see you were able to respond into our support platform. A member of our team is on top of this and will be following up with you there. Keep an eye on this update coming your way. We appreciate your patience.","We are here to help. Based on standard resolution procedures: Sorry about the delay, Reyaz. We do see you were able to respond into our support platform. A member of our team is on top of this and will be following up with you there. Keep an eye on this update coming your way. We appreciate your patience. If you need further assistance, please let us know.",ESCALATE,Account access inquiries require secure identity verification and human support intervention.
1305910,Multiple times follow up for refund but only receive auto replies...No helpline is available https://t.co/cDNUyw8EZW,refund_request,,,We understand you are requesting a refund. Please share your trip details and receipt info so our support team can review your request.,ESCALATE,No usable historical resolution found (similarity 0.1947 is below 0.20 threshold).
1366473,If my @115873 driver fucking slams on the brakes again because he’d rather stare at women walking I swear to god,driver_issue,I swear I have the worst @115873 driver ever,"@308896 Sorry for the inconvenience. Send us a note here, https://t.co/fS660rQ8NQ, and our team will be in touch.",We sincerely apologize for the experience with your driver. Please send us a direct message with your trip details so our team can follow up immediately.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
1368498,"@Uber_Support had a very, scary experience in an uber and cannot seem to rate the driver on my husbands app. Please contact me",driver_issue,@Uber_Support my uber driver app and uber rider app not functioning for about 10 days.,@772222 Hi there! Please reach out to https://t.co/QDn91HzZV0 and fill out the 4 boxes at the bottom so we can get in touch.,We sincerely apologize for the experience with your driver. Please send us a direct message with your trip details so our team can follow up immediately.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
1556768,@Uber_Support Let me know the way by which I can avail the offer as sent by your esteemed team.,other_support_issue,@Uber_Support sent it,@738158 We've followed up with your DM. Please check your inbox for a follow up.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
1715692,Disappointed that there is no direct number to reach @Uber_Support @115873 for my urgent matter!!,app_or_technical_issue,@Uber_Support Totally disappointed service..,"@793791 We've been in touch via DM, Hemant. Please keep an eye out for our response.",Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,AUTO_HANDLE,A usable historical resolution was found (similarity: 0.2562) with self-contained guidance.
1789981,@133311 @Uber_Support my uber driver stole my phone and uber won't help me beyond repeatedly sending me to their help page or sending automated messages to my friend's phone which was robbed at gunpoint on thursday. customer service is absolutely unhelpful,driver_issue,,,We take driver feedback very seriously. Please provide your trip details so our safety and operations team can address this situation.,ESCALATE,No usable historical resolution found (similarity 0.1731 is below 0.20 threshold).
1790098,@Uber_Support Can we use uberXL to carry a deconstructed/ unassambled baby crib? Dimension 32.5”x55”. Thank you,other_support_issue,@Uber_Support thank you,@678784 It seems a member of our team has reached out to you. Please check your email and follow up with them there.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
1792306,@115873 my driver is asking for $50 to return my phone. What is your policy on this?,driver_issue,,,We take driver feedback very seriously. Please provide your trip details so our safety and operations team can address this situation.,ESCALATE,No usable historical resolution found (similarity 0.1998 is below 0.20 threshold).
1874831,My Uber driver cancelled on me and changed 5.00 cancalation free. I’m in a cab being charged a lot more and I’m late for my show #uber,cancellation_issue,,,We understand your concern regarding the cancellation. Please share your trip details so our team can check the cancellation status.,ESCALATE,No usable historical resolution found (similarity 0.1632 is below 0.20 threshold).
1906124,@Uber_Support Please get my money back to me I had a big trip planned today,refund_request,@Uber_Support I want my money back NOW,@252215 Here to help. Send us a note at https://t.co/wW2bTlNcsR so our team can connect.,Sorry about the inconvenience with your ride. Please send us a DM with your trip details so our team can review your refund request.,ESCALATE,Refund requests require transaction verification and authorized financial processing.
2081674,@Uber_Support please DM me. Approval issue,app_or_technical_issue,@Uber_Support I sent you a DM last week regarding an issue I’m having trying to apply. Is there any other way to get in touch with someone?,@690216 Here to help. Send us a note at https://t.co/uRjsQ64qLY so our team can connect.,Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
2141083,@Uber_Support You have his license plate and the time I tweeted. You should be able to track him down using your systems.,other_support_issue,,,Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,ESCALATE,No usable historical resolution found (similarity 0.1328 is below 0.20 threshold).
2323350,@Uber_Support Uber places phone calls to drivers through Google Hangouts rather than my sim phone service. How do I change this? P,driver_issue,,,We take driver feedback very seriously. Please provide your trip details so our safety and operations team can address this situation.,ESCALATE,No usable historical resolution found (similarity 0.1543 is below 0.20 threshold).
2359083,I’m about to delete @115873 ! You can’t contact them and they don’t have refund you your money!,refund_request,@Uber_Support I want my money back NOW,@252215 Here to help. Send us a note at https://t.co/wW2bTlNcsR so our team can connect.,Sorry about the inconvenience with your ride. Please send us a DM with your trip details so our team can review your refund request.,ESCALATE,Refund requests require transaction verification and authorized financial processing.
2378338,"@115873     Here's the photo, by the way, after ignoring all 37 of my phone calls https://t.co/QCUHBGF1mY",other_support_issue,,,Sorry you're experiencing this issue. Please contact our support team with your details so we can assist you.,ESCALATE,No usable historical resolution found (similarity 0.1648 is below 0.20 threshold).
2381495,@Uber_Support This is just Standing Operating Procedures. I had informed and spoke to the driver on Sunday night being the 1st step; Cab aggregator being the 2nd step; and the police being the 3rd step which I hope would not be necessary. My alt no. 9643736103 or 9999365408.,driver_issue,@Uber_Support I want a stringent action against the driver and cab from your side,@814995 We've been in touch via DM!,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,AUTO_HANDLE,A usable historical resolution was found (similarity: 0.2159) with self-contained guidance.
2388184,@115873 I just filled out a form on https://t.co/ZpWBRNiQtV. but,other_support_issue,@115873  just really pissed me off!!!!!!!!!!!,@195841 Sorry to hear that! Send us your email address and details so we can follow up.,Thank you for contacting support. We have reviewed your inquiry against our historical resolutions. Please provide your trip or order details so we can assist you with this issue.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
2557472,umm @115877 got my order wrong and now I’m stuck with 4 bacon egg McGriddles,uber_eats_issue,When you order @115877 and they give you the completely wrong order. I️ asked for a 10 piece chicken nuggets with a vanilla shake and I️ got a double quarter pounder with cheese and a chocolate shake. 😭😭😭 https://t.co/Q5LCTW837x,@645145 We're sorry to hear this. Can you please send us a DM so we can look into this?,We are sorry for the trouble with your delivery order. Please send us a DM with your order details so our team can look into this right away.,ESCALATE,Historical responses indicate that this issue requires direct support follow-up.
2590826,@Uber_Support I want to know why my Uber gift credit of $50 disappeared from my acct. So when I tried to re-add it .. it says it’s already on my account. PLEASE HELP,account_access_issue,@Uber_Support @115873 I don’t want a credit to my account. I want a refund,@704176 Our team is reviewing your email and will be in touch. We appreciate your patience!,"We are here to help. Based on standard resolution procedures: Our team is reviewing your email and will be in touch. We appreciate your patience! If you need further assistance, please let us know.",ESCALATE,Account access inquiries require secure identity verification and human support intervention.
2596527,@Uber_Support  https://t.co/0x4eNzxw7C,other_support_issue,@Uber_Support  https://t.co/9MRfdqf5l4,@817355 We're so sorry for the trouble. Send us a note via https://t.co/iMxFJdr4fj so we can assist.,Sorry about the issue you're experiencing. Please send us a DM with your details so our support team can review this and assist you further.,ESCALATE,Inquiry intent is ambiguous or unclassified; requires human agent triage.
